uint8_no,param,range,lab_value,description,,,
,magic[0],[7:0],80,,,,
,magic[1],[7:0],72,,,,
,magic[2],[7:0],89,,,,
,magic[3],[7:0],73,,,,
,magic[4],[7:0],78,,,,
,magic[5],[7:0],73,,,,
,magic[6],[7:0],84,,,,
,magic[7],[7:0],0,,,,
0,param_ver_id,[7:0],1,notion: read data is current version's update,,,
1,target_power_qdb_1m_2m,[7:0],84,means target power of 1m and 2m  is 84/4=21dbm,,,
2,target_power_qdb_5.5m_11m,[7:0],84,means target power of 5.5m and 11m  is 84/4=21dbm,,,
3,target_power_qdb_6m_9m,[7:0],80,means target power of 6m and 9m  is 80/4=21dbm,,,
4,target_power_qdb_12m_18m,[7:0],80,means target power of 12m and 18m  is 80/4=20dbm,,,
5,target_power_qdb_24m_36m,[7:0],80,means target power of 24m and 36m  is 80/4=20dbm,,,
6,target_power_qdb_48m_54m,[7:0],76,means target power of 48m and 54m  is 76/4=19dbm,,,
7,target_power_qdb_HT20&HE20_mcs0_mcs1,[7:0],76,means target power of  HT20&HE20_mcs0_mcs1  is 76/4=19dbm,,,
8,target_power_qdb_HT20&HE20_mcs2_mcs3,[7:0],76,means target power of  HT20&HE20_mcs2_mcs3  is 76/4=19dbm,,,
9,target_power_qdb_HT20&HE20_mcs4_mcs5,[7:0],76,means target power of  HT20&HE20_mcs4_mcs5  is 76/4=19dbm,,,
10,target_power_qdb_HT20&HE20_mcs6_mcs7,[7:0],72,means target power of  HT20&HE20_mcs6_mcs7  is 72/4=18dbm,,,
11,target_power_qdb_HE20_mcs8,[7:0],68,means target power of  HE20_mcs8  is  68/4=17dbm,,,
12,target_power_qdb_HE20_mcs9,[7:0],60,means target power of  HE20_mcs9  is  60/4=15dbm,,,
13,target_power_qdb_HE20_mcs10,[7:0],60,means target power of  HE20_mcs10 is  60/4=15dbm,,,
14,target_power_qdb_HE20_mcs11,[7:0],60,means target power of  HE20_mcs11  is 60/4=15dbm,,,
15,target_power_qdb_HT40_mcs0_mcs1,[7:0],76,means target power of  HT40_mcs0_mcs1  is 76/4=19dbm,,,
16,target_power_qdb_HT40_mcs2_mcs3,[7:0],76,means target power of  HT40_mcs2_mcs3  is 76/4=19dbm,,,
17,target_power_qdb_HT40_mcs4_mcs5,[7:0],76,means target power of  HT40_mcs4_mcs5  is 76/4=19dbm,,,
18,target_power_qdb_HT40_mcs6_mcs7,[7:0],72,means target power of  HT40_mcs6_mcs7  is 72/4=18dbm,,,
19,target_power_qdb_1m_2m,[7:0],84,means target power of 1m and 2m  is 84/4=21dbm,,,
20,target_power_qdb_5.5m_11m,[7:0],84,means target power of 5.5m and 11m  is 84/4=21dbm,,,
21,target_power_qdb_6m_9m_5g,[7:0],80,means target power of 6m and 9m_5g  is 80/4=21dbm,,,
22,target_power_qdb_12m_18m_5g,[7:0],80,means target power of 12m and 18m_5g  is 80/4=20dbm,,,
23,target_power_qdb_24m_36m_5g,[7:0],80,means target power of 24m and 36m_5g  is 80/4=20dbm,,,
24,target_power_qdb_48m_54m_5g,[7:0],76,means target power of 48m and 54m_5g  is 76/4=19dbm,,,
25,target_power_qdb_HT20&HE20_mcs0_mcs1_5g,[7:0],76,means target power of  HT20&HE20_mcs0_mcs1_5g  is 76/4=19dbm,,,
26,target_power_qdb_HT20&HE20_mcs2_mcs3_5g,[7:0],76,means target power of  HT20&HE20_mcs2_mcs3_5g  is 76/4=19dbm,,,
27,target_power_qdb_HT20&HE20_mcs4_mcs5_5g,[7:0],76,means target power of  HT20&HE20_mcs4_mcs5_5g  is 76/4=19dbm,,,
28,target_power_qdb_HT20&HE20_mcs6_mcs7_5g,[7:0],72,means target power of  HT20&HE20_mcs6_mcs7_5g  is 72/4=18dbm,,,
29,target_power_qdb_HE20_mcs8_5g,[7:0],68,means target power of  HE20_mcs8_5g  is  68/4=17dbm,,,
30,target_power_qdb_HE20_mcs9_5g,[7:0],60,means target power of  HE20_mcs9_5g  is  60/4=15dbm,,,
31,target_power_qdb_HE20_mcs10_5g,[7:0],60,means target power of  HE20_mcs10_5g is  60/4=15dbm,,,
